Año - mes,Dimensión valor,Cuenta,Imp. presupuestado,Imp. real,Desvio,Porcentaje de desviación
2023-04-01,Wanda,Cargas sociales Área Social,0.0,-36329.75,-36329.75,
2023-04-01,Área Social,Cargas sociales Área Social,-322150.99,-303318.63,18832.36,-5.845817825982775
2023-05-01,Área Social,Cargas sociales Área Social,-361808.81,-334265.3,27543.51,-7.612725074328624
2023-06-01,Área Social,Cargas sociales Área Social,-542713.21,-533517.73,9195.48,-1.6943534505084155
2023-07-01,Área Social,Cargas sociales Área Social,-396649.66,-367666.71,28982.95,-7.306939327768479
2023-08-01,Área Social,Cargas sociales Área Social,-464080.1,-421978.48,42101.62,-9.07205889672925
2023-04-01,Administración,Cargos Financieros e Intereses,-400000.0,-474852.89,-74852.89,18.713222500000004
2023-05-01,Administración,Cargos Financieros e Intereses,-400000.0,-535275.04,-135275.04,33.81876000000001
2023-06-01,Administración,Cargos Financieros e Intereses,-400000.0,-639888.43,-239888.43,59.972107500000014
2023-07-01,Administración,Cargos Financieros e Intereses,-450000.0,-1796046.06,-1346046.06,299.1213466666667
2023-08-01,Administración,Cargos Financieros e Intereses,-450000.0,-716360.41,-266360.41,59.19120222222223
2023-04-01,Corralón 4 JC Paz,Cargos Financieros e Intereses,-109096.0,-109095.45,0.55,-0.0005041431399894683
2023-05-01,Corralón 4 JC Paz,Cargos Financieros e Intereses,-99910.0,-99910.6,-0.6,0.00060054048644362
2023-06-01,Corralón 4 JC Paz,Cargos Financieros e Intereses,-90381.0,-90381.53,-0.53,0.0005864064349795154
2023-07-01,Corralón 4 JC Paz,Cargos Financieros e Intereses,-80494.0,-80494.63,-0.63,0.0007826670310888471
2023-08-01,Corralón 4 JC Paz,Cargos Financieros e Intereses,-70235.0,-70235.73,-0.73,0.001039367836542928
2023-08-01,Suelo Firme III,Cargos Financieros e Intereses,0.0,-798958.33,-798958.33,
2023-04-01,Administración,Comisiones medios de cobro,0.0,-68.85,-68.85,
2023-05-01,Administración,Comisiones medios de cobro,0.0,-68.85,-68.85,
2023-06-01,Administración,Comisiones medios de cobro,0.0,-68.85,-68.85,
2023-07-01,Administración,Comisiones medios de cobro,0.0,-68.85,-68.85,
2023-04-01,Corralón 1 Boulogne,Comisiones medios de cobro,-265811.36,-347469.3,-81657.94,30.72025966083617
2023-05-01,Corralón 1 Boulogne,Comisiones medios de cobro,-287953.44,-548307.21,-260353.77,90.41523171246017
2023-06-01,Corralón 1 Boulogne,Comisiones medios de cobro,-311939.97,-628156.25,-316216.28,101.3708759412909
2023-07-01,Corralón 1 Boulogne,Comisiones medios de cobro,-337924.56,-539313.77,-201389.21,59.59590803343801
2023-08-01,Corralón 1 Boulogne,Comisiones medios de cobro,-366073.68,-926330.82,-560257.14,153.0449116145143
2023-04-01,Corralón 2 Matanza,Comisiones medios de cobro,-146895.8,-120665.49,26230.31,-17.856405697099568
2023-05-01,Corralón 2 Matanza,Comisiones medios de cobro,-159132.23,-144142.97,14989.26,-9.4193740639467
2023-06-01,Corralón 2 Matanza,Comisiones medios de cobro,-172387.94,-185158.14,-12770.2,7.407826788811335
2023-07-01,Corralón 2 Matanza,Comisiones medios de cobro,-186747.86,-233346.92,-46599.06,24.95292851013127
2023-08-01,Corralón 2 Matanza,Comisiones medios de cobro,-202303.95,-303720.77,-101416.82,50.13091439885381
2023-04-01,Corralón 3 Barracas,Comisiones medios de cobro,-136509.25,-209363.92,-72854.67,53.369767982755754
2023-05-01,Corralón 3 Barracas,Comisiones medios de cobro,-149359.28,-219484.31,-70125.03,46.95056778527588
2023-06-01,Corralón 3 Barracas,Comisiones medios de cobro,-163418.92,-221352.51,-57933.59,35.450968590417794
2023-07-01,Corralón 3 Barracas,Comisiones medios de cobro,-178802.03,-282753.53,-103951.5,58.13776275358844
2023-08-01,Corralón 3 Barracas,Comisiones medios de cobro,-195633.2,-287526.53,-91893.33,46.972257265126785
2023-04-01,Corralón 4 JC Paz,Comisiones medios de cobro,-63491.78,-91415.59,-27923.81,43.98019712158015
2023-05-01,Corralón 4 JC Paz,Comisiones medios de cobro,-71985.82,-182223.58,-110237.76,153.13815970978723
2023-06-01,Corralón 4 JC Paz,Comisiones medios de cobro,-81616.21,-202020.58,-120404.37,147.52506885580692
2023-07-01,Corralón 4 JC Paz,Comisiones medios de cobro,-92534.98,-142926.81,-50391.83,54.45706045432765
2023-08-01,Corralón 4 JC Paz,Comisiones medios de cobro,-104914.47,-314181.58,-209267.11,199.4644875964202
2023-04-01,Desarrollo de Proyectos,Comisiones medios de cobro,0.0,-47756.72,-47756.72,
2023-05-01,Desarrollo de Proyectos,Comisiones medios de cobro,0.0,-63812.7,-63812.7,
2023-06-01,Desarrollo de Proyectos,Comisiones medios de cobro,0.0,-60876.71,-60876.71,
2023-07-01,Desarrollo de Proyectos,Comisiones medios de cobro,0.0,-63942.77,-63942.77,
2023-08-01,Desarrollo de Proyectos,Comisiones medios de cobro,0.0,-70483.37,-70483.37,
2023-04-01,Desarrollo Institucional,Comisiones medios de cobro,-9000.0,-29341.59,-20341.59,226.01766666666668
2023-05-01,Desarrollo Institucional,Comisiones medios de cobro,-9000.0,-31308.45,-22308.45,247.87166666666667
2023-06-01,Desarrollo Institucional,Comisiones medios de cobro,-9000.0,-34207.67,-25207.67,280.08522222222217
2023-07-01,Desarrollo Institucional,Comisiones medios de cobro,-10350.0,-29089.94,-18739.94,181.0622222222222
2023-08-01,Desarrollo Institucional,Comisiones medios de cobro,-10350.0,-29235.83,-18885.83,182.47178743961354
2023-04-01,Microcréditos,Comisiones medios de cobro,-35727.36,-52955.36,-17228.0,48.22074734881055
2023-05-01,Microcréditos,Comisiones medios de cobro,-36740.68,-55989.95,-19249.27,52.392252946869775
2023-06-01,Microcréditos,Comisiones medios de cobro,-11800.0,-56750.21,-44950.21,380.9339830508475
2023-07-01,Microcréditos,Comisiones medios de cobro,-23766.67,-72546.92,-48780.25,205.24646490231908
2023-08-01,Microcréditos,Comisiones medios de cobro,-38133.33,-78897.59,-40764.26,106.89929256112696
2023-05-01,Trapito Medio Ambiente,Comisiones medios de cobro,0.0,-31439.23,-31439.23,
2023-04-01,Wanda,Comisiones medios de cobro,0.0,-3077.42,-3077.42,
2023-05-01,Wanda,Comisiones medios de cobro,0.0,-1277.19,-1277.19,
2023-06-01,Wanda,Comisiones medios de cobro,0.0,-1681.7,-1681.7,
2023-07-01,Wanda,Comisiones medios de cobro,0.0,-1667.41,-1667.41,
2023-08-01,Wanda,Comisiones medios de cobro,0.0,-2711.11,-2711.11,
2023-04-01,Corralón 1 Boulogne,Comunicación Institucional,-860000.0,-410287.36,449712.64,-52.29216744186047
2023-05-01,Corralón 1 Boulogne,Comunicación Institucional,-1330000.0,-414000.57,915999.43,-68.87213759398496
